epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.754,0.38764,0.95567,0.8111,0.98302,0.9772,0.97507,0.92188,0.26197,0.3341,0.77168,0.00333176,0.00333176,0.00333176
2,362.46,0.35556,0.38836,0.80913,0.97982,0.98096,0.97638,0.94028,0.23623,0.27058,0.78156,0.00659911,0.00659911,0.00659911
3,531.498,0.35545,0.35507,0.81334,0.98172,0.97388,0.97624,0.94345,0.23754,0.27536,0.78812,0.00980046,0.00980046,0.00980046
4,699.227,0.32396,0.32471,0.81122,0.95994,0.96746,0.96979,0.94362,0.20246,0.27452,0.78464,0.009703,0.009703,0.009703
5,867.216,0.28577,0.29438,0.80356,0.98001,0.97697,0.97739,0.95585,0.18425,0.20268,0.77795,0.009604,0.009604,0.009604
6,1034.75,0.26665,0.27385,0.80111,0.98507,0.9786,0.9783,0.95861,0.17413,0.19044,0.77989,0.009505,0.009505,0.009505
7,1202.56,0.2538,0.26388,0.79931,0.9834,0.97764,0.98002,0.96312,0.16204,0.17532,0.77745,0.009406,0.009406,0.009406
8,1370.77,0.24432,0.25589,0.79637,0.97713,0.97764,0.9789,0.96391,0.15774,0.17895,0.78114,0.009307,0.009307,0.009307
9,1536.98,0.23898,0.24875,0.79544,0.98484,0.97795,0.98013,0.96587,0.15485,0.16231,0.77917,0.009208,0.009208,0.009208
10,1704.5,0.23262,0.24057,0.79384,0.98486,0.97902,0.98067,0.96582,0.15243,0.16059,0.77769,0.009109,0.009109,0.009109
11,1871.5,0.22915,0.23897,0.79377,0.98267,0.97902,0.97858,0.96397,0.14855,0.15316,0.77829,0.00901,0.00901,0.00901
12,2039.51,0.22515,0.23374,0.79335,0.97941,0.97764,0.97711,0.96428,0.14703,0.15572,0.77638,0.008911,0.008911,0.008911
13,2207.08,0.22342,0.23374,0.79219,0.9858,0.98074,0.98044,0.968,0.14248,0.14682,0.77744,0.008812,0.008812,0.008812
14,2374.84,0.22125,0.23129,0.79235,0.98398,0.97875,0.9802,0.96877,0.14021,0.14336,0.77759,0.008713,0.008713,0.008713
15,2541.97,0.21896,0.22774,0.79118,0.98398,0.97917,0.98025,0.96942,0.13747,0.13976,0.7769,0.008614,0.008614,0.008614
16,2708.21,0.21611,0.22762,0.79153,0.98361,0.97764,0.97964,0.96849,0.13847,0.14066,0.7767,0.008515,0.008515,0.008515
17,2873.87,0.2149,0.22706,0.79026,0.98658,0.97941,0.97971,0.96851,0.13478,0.13488,0.77255,0.008416,0.008416,0.008416
18,3041.08,0.21376,0.22222,0.78955,0.98618,0.97937,0.98011,0.97005,0.13411,0.13379,0.77525,0.008317,0.008317,0.008317
19,3207.4,0.21179,0.22337,0.78954,0.98504,0.98052,0.98076,0.9705,0.13445,0.13209,0.77463,0.008218,0.008218,0.008218
20,3373.43,0.20974,0.22113,0.7914,0.98573,0.97874,0.98062,0.97029,0.1325,0.13195,0.77553,0.008119,0.008119,0.008119
21,3538.19,0.20878,0.22118,0.79003,0.98549,0.97919,0.98052,0.97046,0.13148,0.12947,0.77545,0.00802,0.00802,0.00802
22,3705.59,0.20666,0.2171,0.79017,0.98554,0.98046,0.98096,0.97133,0.12979,0.12633,0.77525,0.007921,0.007921,0.007921
23,3873.12,0.2064,0.2183,0.78925,0.9862,0.98078,0.98108,0.97159,0.12944,0.12544,0.77602,0.007822,0.007822,0.007822
24,4040.37,0.20547,0.21403,0.7873,0.98533,0.98111,0.98131,0.97166,0.1289,0.12441,0.77581,0.007723,0.007723,0.007723
25,4207.56,0.20375,0.21321,0.78791,0.98379,0.98102,0.98101,0.97184,0.12808,0.12381,0.77518,0.007624,0.007624,0.007624
26,4375.5,0.20427,0.21437,0.78828,0.98486,0.97905,0.98057,0.97109,0.12827,0.12452,0.77522,0.007525,0.007525,0.007525
27,4543.68,0.20383,0.21306,0.78841,0.98271,0.98133,0.98094,0.97165,0.12823,0.12415,0.77518,0.007426,0.007426,0.007426
28,4712,0.20157,0.20808,0.78844,0.98307,0.98118,0.98088,0.97159,0.12757,0.12284,0.77494,0.007327,0.007327,0.007327
29,4879.39,0.20299,0.21171,0.78865,0.9861,0.97875,0.98085,0.97174,0.12713,0.1216,0.77485,0.007228,0.007228,0.007228
30,5046.01,0.20058,0.21106,0.78923,0.98574,0.97958,0.98079,0.97209,0.12682,0.1215,0.77473,0.007129,0.007129,0.007129
31,5214.03,0.20051,0.20991,0.78856,0.98565,0.97963,0.98095,0.97235,0.12649,0.12135,0.77475,0.00703,0.00703,0.00703
32,5381.58,0.19895,0.2104,0.78771,0.98545,0.97963,0.98101,0.97237,0.1266,0.12084,0.77501,0.006931,0.006931,0.006931
